Sales Person,Country,Product,Date, Amount ,Boxes Shipped
Kaine Padly,Australia,Almond Choco,2/22/2023,4372,375
Oby Sorrel,USA,Smooth Sliky Salty,4/3/2023,3632,169
Dennison Crosswaite,India,Smooth Sliky Salty,7/7/2023,3344,10
Camilla Castle,New Zealand,Caramel Stuffed Bars,6/17/2023,4400,364
Jan Morforth,Canada,Caramel Stuffed Bars,2/8/2023,10802,124
Oby Sorrel,USA,Baker's Choco Chips,12/8/2023,9154,123
Madelene Upcott,New Zealand,Peanut Butter Cubes,1/28/2023,5361,340
Kelci Walkden,Australia,Orange Choco,4/29/2023,11597,462
Marney O'Breen,Australia,Manuka Honey Choco,5/4/2023,14939,238
Kaine Padly,Canada,Manuka Honey Choco,1/18/2023,10846,146
Jehu Rudeforth,UK,Baker's Choco Chips,5/16/2023,2833,104
Kelci Walkden,Australia,White Choc,8/24/2023,8880,177
Curtice Advani,India,85% Dark Bars,1/18/2023,298,399
Kaine Padly,USA,Eclairs,8/22/2023,7800,10
Gunar Cockshoot,UK,99% Dark & Pure,7/3/2023,8,85
Beverie Moffet,UK,Choco Coated Almonds,4/3/2023,3212,66
Dotty Strutley,Canada,Manuka Honey Choco,4/22/2023,12049,113
Kaine Padly,Australia,Milk Bars,9/6/2023,4500,91
Jan Morforth,Canada,Fruit & Nut Bars,7/25/2023,9984,207
Jan Morforth,India,Smooth Sliky Salty,3/8/2023,11868,95
Rafaelita Blaksland,Australia,Manuka Honey Choco,3/8/2023,4807,132
Jehu Rudeforth,UK,Milk Bars,3/5/2023,13421,232
Husein Augar,Canada,After Nines,1/19/2023,10408,301
Roddy Speechley,USA,50% Dark Bites,11/2/2023,10849,330
Van Tuxwell,India,Almond Choco,6/14/2023,7247,402
Kelci Walkden,USA,50% Dark Bites,3/23/2023,6388,227
Madelene Upcott,Canada,85% Dark Bars,2/17/2023,8373,108
Dennison Crosswaite,Canada,Smooth Sliky Salty,3/17/2023,1887,488
Mallorie Waber,Australia,Spicy Special Slims,6/29/2023,6054,287
Ches Bonnell,Canada,Choco Coated Almonds,8/24/2023,16255,268
Gigi Bohling,Canada,Spicy Special Slims,4/7/2023,13174,301
Roddy Speechley,New Zealand,Almond Choco,3/28/2023,2721,72
Curtice Advani,India,Smooth Sliky Salty,4/19/2023,19284,139
Ches Bonnell,New Zealand,Mint Chip Choco,1/18/2023,9328,232
Van Tuxwell,New Zealand,Fruit & Nut Bars,1/17/2023,3184,85
Andria Kimpton,New Zealand,Mint Chip Choco,2/15/2023,9739,209
Andria Kimpton,UK,Milk Bars,11/2/2023,16487,314
Camilla Castle,USA,Manuka Honey Choco,3/21/2023,16792,184
Gunar Cockshoot,New Zealand,Almond Choco,5/1/2023,5753,125
Brien Boise,India,Raspberry Choco,5/30/2023,6833,157
Jehu Rudeforth,USA,99% Dark & Pure,4/1/2023,2816,222
Beverie Moffet,Australia,Fruit & Nut Bars,4/22/2023,1545,269
Gigi Bohling,Canada,Milk Bars,10/2/2023,3433,120
Dotty Strutley,India,Spicy Special Slims,12/8/2023,1002,217
Gunar Cockshoot,USA,Organic Choco Syrup,10/8/2023,2494,315
Kelci Walkden,Australia,Raspberry Choco,7/6/2023,770,61
Jehu Rudeforth,India,Baker's Choco Chips,6/6/2023,2262,73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5/4/2023,5668,204
Wilone O'Kielt,USA,50% Dark Bites,4/18/2023,4739,125
Andria Kimpton,India,50% Dark Bites,1/31/2023,13662,15
Madelene Upcott,USA,Baker's Choco Chips,8/22/2023,6067,151
Jehu Rudeforth,Australia,99% Dark & Pure,2/25/2023,11721,204
Jan Morforth,Australia,Mint Chip Choco,2/22/2023,20000,106
Oby Sorrel,New Zealand,Milk Bars,12/1/2023,4484,201
Brien Boise,UK,Almond Choco,5/25/2023,107,129
Kelci Walkden,India,Smooth Sliky Salty,1/2/2023,2526,8
Rafaelita Blaksland,UK,Eclairs,4/27/2023,1578,67
Gigi Bohling,USA,Smooth Sliky Salty,7/22/2023,2972,129
Curtice Advani,New Zealand,Mint Chip Choco,1/26/2023,3692,284
Curtice Advani,USA,Mint Chip Choco,8/24/2023,5189,293
Madelene Upcott,New Zealand,Fruit & Nut Bars,1/18/2023,5767,21
Karlen McCaffrey,India,85% Dark Bars,3/30/2023,1037,82
Ches Bonnell,Australia,Caramel Stuffed Bars,1/17/2023,10034,163
Kelci Walkden,USA,Fruit & Nut Bars,2/17/2023,5221,154
Kelci Walkden,Canada,Peanut Butter Cubes,8/4/2023,8107,47
Gigi Bohling,Canada,Drinking Coco,6/7/2023,3934,86
Husein Augar,India,Fruit & Nut Bars,4/4/2023,4509,231
Jan Morforth,New Zealand,Organic Choco Syrup,2/3/2023,1922,226
Gigi Bohling,New Zealand,Raspberry Choco,9/8/2023,1161,181
Dennison Crosswaite,Australia,Milk Bars,9/6/2023,11389,282
Ches Bonnell,UK,Caramel Stuffed Bars,2/6/2023,3032,313
Van Tuxwell,USA,Fruit & Nut Bars,5/7/2023,6872,238
Andria Kimpton,Canada,Eclairs,11/8/2023,340,124
Madelene Upcott,India,Choco Coated Almonds,11/2/2023,3720,141
Kelci Walkden,New Zealand,Spicy Special Slims,11/8/2023,731,69
Roddy Speechley,Australia,Drinking Coco,12/5/2023,13289,112
Wilone O'Kielt,USA,Milk Bars,7/15/2023,5333,101
Andria Kimpton,India,Organic Choco Syrup,1/18/2023,3972,131
Madelene Upcott,UK,Fruit & Nut Bars,5/1/2023,9538,198
Curtice Advani,Australia,50% Dark Bites,6/29/2023,548,221
Brien Boise,Canada,Raspberry Choco,6/14/2023,2995,47
Gunar Cockshoot,India,Mint Chip Choco,8/8/2023,4451,71
Dennison Crosswaite,India,Mint Chip Choco,3/23/2023,14692,143
Barr Faughny,India,Caramel Stuffed Bars,4/1/2023,7043,107
Brien Boise,India,Milk Bars,2/22/2023,15583,248
Beverie Moffet,UK,Spicy Special Slims,2/17/2023,9060,268
Barr Faughny,USA,Almond Choco,3/2/2023,431,85
Van Tuxwell,Canada,Raspberry Choco,3/17/2023,1264,137
Wilone O'Kielt,Australia,Baker's Choco Chips,1/25/2023,2995,156
Brien Boise,Australia,Milk Bars,7/27/2023,2118,56
Husein Augar,Australia,Fruit & Nut Bars,1/28/2023,8082,54
Madelene Upcott,Australia,Organic Choco Syrup,5/7/2023,11543,49
Van Tuxwell,India,White Choc,3/15/2023,2184,46
Gunar Cockshoot,Canada,After Nines,4/8/2023,3125,191
Jan Morforth,USA,Fruit & Nut Bars,6/27/2023,4892,380
Jan Morforth,Canada,After Nines,7/13/2023,4881,183
Barr Faughny,New Zealand,Manuka Honey Choco,2/24/2023,5918,238
Karlen McCaffrey,New Zealand,85% Dark Bars,6/28/2023,6313,60
Oby Sorrel,Australia,85% Dark Bars,6/30/2023,7956,27
Curtice Advani,Canada,Choco Coated Almonds,8/18/2023,5896,7
Kaine Padly,India,70% Dark Bites,1/24/2023,13536,296
Beverie Moffet,USA,White Choc,11/3/2023,5640,129
Ches Bonnell,New Zealand,After Nines,6/23/2023,5813,356
Husein Augar,India,Spicy Special Slims,8/22/2023,2515,32
Gunar Cockshoot,Canada,50% Dark Bites,4/1/2023,3044,22
Curtice Advani,India,Milk Bars,5/4/2023,3902,214
Beverie Moffet,India,Milk Bars,4/15/2023,1929,354
Husein Augar,Australia,White Choc,11/5/2023,3252,241
Andria Kimpton,Canada,Manuka Honey Choco,7/21/2023,5032,495
Jan Morforth,New Zealand,Orange Choco,11/2/2023,1350,89
Andria Kimpton,Canada,Smooth Sliky Salty,8/7/2023,1188,75
Gunar Cockshoot,UK,Raspberry Choco,11/8/2023,7055,334
Husein Augar,New Zealand,After Nines,4/8/2023,7232,8
Andria Kimpton,New Zealand,Orange Choco,6/14/2023,9296,93
Dennison Crosswaite,UK,Baker's Choco Chips,1/17/2023,2277,296
Jehu Rudeforth,Canada,Orange Choco,6/23/2023,4230,548
Jehu Rudeforth,UK,Smooth Sliky Salty,8/24/2023,1641,119
Andria Kimpton,UK,Caramel Stuffed Bars,7/6/2023,8235,294
Jan Morforth,UK,White Choc,6/22/2023,10087,46
Dotty Strutley,USA,Fruit & Nut Bars,7/13/2023,3169,281
Kelci Walkden,UK,Choco Coated Almonds,5/24/2023,10355,215
Gunar Cockshoot,New Zealand,After Nines,9/8/2023,7773,140
Kaine Padly,Canada,85% Dark Bars,6/4/2023,1993,31
Jan Morforth,New Zealand,Manuka Honey Choco,7/28/2023,1816,266
Gunar Cockshoot,New Zealand,Raspberry Choco,8/24/2023,727,50
Van Tuxwell,Australia,99% Dark & Pure,1/17/2023,115,132
Curtice Advani,USA,Drinking Coco,7/2/2023,5378,142
Brien Boise,Australia,Spicy Special Slims,9/5/2023,6708,269
Mallorie Waber,New Zealand,85% Dark Bars,6/6/2023,8167,102
Wilone O'Kielt,USA,Choco Coated Almonds,6/6/2023,9950,6
Beverie Moffet,New Zealand,Organic Choco Syrup,5/24/2023,7229,215
Gunar Cockshoot,UK,50% Dark Bites,1/13/2023,2260,128
Marney O'Breen,USA,Raspberry Choco,5/23/2023,6207,149
Jehu Rudeforth,UK,White Choc,6/29/2023,1890,286
Jehu Rudeforth,New Zealand,85% Dark Bars,11/3/2023,7797,88
Dotty Strutley,USA,85% Dark Bars,4/25/2023,11645,536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,5/30/2023,4207,255
Curtice Advani,India,Manuka Honey Choco,5/23/2023,1684,169
Mallorie Waber,USA,Peanut Butter Cubes,5/23/2023,1337,18
Van Tuxwell,Canada,Peanut Butter Cubes,6/24/2023,7147,300
Kelci Walkden,New Zealand,Smooth Sliky Salty,11/3/2023,12030,296
Rafaelita Blaksland,USA,Smooth Sliky Salty,7/27/2023,15845,232
Rafaelita Blaksland,USA,White Choc,8/16/2023,5026,133
Roddy Speechley,Canada,Smooth Sliky Salty,7/3/2023,9902,12
Curtice Advani,New Zealand,After Nines,5/4/2023,7944,33
Camilla Castle,India,85% Dark Bars,4/5/2023,9524,55
Ches Bonnell,USA,Choco Coated Almonds,4/1/2023,16241,93
Marney O'Breen,Australia,Baker's Choco Chips,1/13/2023,5892,109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11/7/2023,6925,94
Kaine Padly,Australia,Mint Chip Choco,5/17/2023,4553,158
Camilla Castle,New Zealand,Peanut Butter Cubes,7/21/2023,1725,60
Curtice Advani,Canada,Organic Choco Syrup,2/22/2023,897,21
Jan Morforth,India,99% Dark & Pure,5/23/2023,10284,178
Rafaelita Blaksland,Canada,Drinking Coco,12/7/2023,10416,200
Jan Morforth,UK,Orange Choco,6/15/2023,4221,193
Barr Faughny,New Zealand,50% Dark Bites,6/23/2023,4910,304
Curtice Advani,Australia,Eclairs,3/25/2023,6550,53
Jan Morforth,India,Caramel Stuffed Bars,4/7/2023,89,165
Andria Kimpton,UK,White Choc,12/5/2023,9793,110
Camilla Castle,New Zealand,Raspberry Choco,4/4/2023,4824,143
Madelene Upcott,Australia,Orange Choco,4/15/2023,7557,404
Roddy Speechley,Canada,Eclairs,8/3/2023,7082,95
Karlen McCaffrey,India,White Choc,1/17/2023,8361,231
Wilone O'Kielt,India,Mint Chip Choco,8/22/2023,1311,52
Andria Kimpton,UK,99% Dark & Pure,7/25/2023,1288,67
Marney O'Breen,UK,50% Dark Bites,6/14/2023,3288,133
Ches Bonnell,India,Choco Coated Almonds,5/4/2023,10669,85
Madelene Upcott,UK,Raspberry Choco,8/26/2023,7362,344
Wilone O'Kielt,Australia,50% Dark Bites,3/8/2023,10336,123
Gigi Bohling,Canada,White Choc,11/7/2023,6986,4
Wilone O'Kielt,New Zealand,Eclairs,11/3/2023,3394,21
Brien Boise,UK,Peanut Butter Cubes,10/1/2023,15337,31
Roddy Speechley,UK,Baker's Choco Chips,4/4/2023,15925,378
Karlen McCaffrey,Australia,50% Dark Bites,1/17/2023,7356,772
Marney O'Breen,New Zealand,Organic Choco Syrup,8/7/2023,9489,54
Jan Morforth,UK,Organic Choco Syrup,12/4/2023,1281,354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,8/24/2023,518,192
Ches Bonnell,UK,Choco Coated Almonds,7/6/2023,1934,239
Gunar Cockshoot,Canada,Almond Choco,7/28/2023,1309,30
Husein Augar,USA,99% Dark & Pure,2/21/2023,9879,111
Dennison Crosswaite,Canada,Mint Chip Choco,8/4/2023,1944,297
Brien Boise,UK,Manuka Honey Choco,6/28/2023,81,103
Van Tuxwell,UK,Baker's Choco Chips,3/24/2023,2678,20
Barr Faughny,Australia,Caramel Stuffed Bars,7/29/2023,2931,60
Dennison Crosswaite,USA,Eclairs,5/25/2023,2316,90
Gigi Bohling,Australia,Raspberry Choco,3/30/2023,6722,330
Dennison Crosswaite,USA,Organic Choco Syrup,7/18/2023,14529,134
Beverie Moffet,Canada,Orange Choco,10/5/2023,9390,104
Mallorie Waber,Australia,Choco Coated Almonds,3/18/2023,16230,94
Ches Bonnell,India,Caramel Stuffed Bars,6/15/2023,7224,55
Van Tuxwell,Canada,50% Dark Bites,12/5/2023,15568,57
Kelci Walkden,New Zealand,Baker's Choco Chips,6/23/2023,2964,105
Beverie Moffet,India,Spicy Special Slims,4/21/2023,3357,186
Gigi Bohling,Australia,Almond Choco,8/17/2023,1010,127
Rafaelita Blaksland,New Zealand,Eclairs,7/2/2023,20470,54
Kelci Walkden,Canada,Smooth Sliky Salty,3/17/2023,8763,115
Jan Morforth,India,Baker's Choco Chips,1/8/2023,14614,85
Jehu Rudeforth,Australia,Milk Bars,3/18/2023,9839,31
Gigi Bohling,Canada,Fruit & Nut Bars,6/14/2023,6633,103
Beverie Moffet,UK,Eclairs,4/22/2023,9749,169
Marney O'Breen,New Zealand,Eclairs,1/18/2023,5254,31
Husein Augar,Australia,99% Dark & Pure,8/26/2023,3430,123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10/6/2023,10455,434
Curtice Advani,Canada,70% Dark Bites,1/31/2023,2414,7
Kelci Walkden,New Zealand,Manuka Honey Choco,8/4/2023,1445,108
Dotty Strutley,Australia,Baker's Choco Chips,7/6/2023,4023,71
Barr Faughny,Australia,85% Dark Bars,10/2/2023,8651,43
Beverie Moffet,Australia,50% Dark Bites,5/16/2023,725,453
Gunar Cockshoot,India,Baker's Choco Chips,3/18/2023,2385,540
Van Tuxwell,Australia,50% Dark Bites,7/13/2023,726,131
Oby Sorrel,USA,Manuka Honey Choco,7/25/2023,4742,83
Van Tuxwell,Canada,Choco Coated Almonds,8/19/2023,2557,312
Karlen McCaffrey,Canada,70% Dark Bites,6/24/2023,8377,646
Kelci Walkden,Canada,Fruit & Nut Bars,6/20/2023,841,162
Camilla Castle,India,99% Dark & Pure,2/8/2023,208,216
Madelene Upcott,New Zealand,70% Dark Bites,2/22/2023,13370,94
Mallorie Waber,New Zealand,Orange Choco,1/2/2023,6811,25
Jan Morforth,Canada,70% Dark Bites,2/14/2023,6097,300
Kelci Walkden,Australia,Milk Bars,2/24/2023,8685,120
Dennison Crosswaite,India,Orange Choco,3/18/2023,873,140
Husein Augar,UK,Eclairs,8/30/2023,1913,253
Gigi Bohling,USA,Peanut Butter Cubes,9/5/2023,322,76
Wilone O'Kielt,USA,Smooth Sliky Salty,1/18/2023,511,96
Curtice Advani,India,White Choc,4/7/2023,7887,335
Oby Sorrel,New Zealand,Spicy Special Slims,3/6/2023,1794,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,2/23/2023,12129,29
Dotty Strutley,New Zealand,99% Dark & Pure,9/5/2023,11750,213
Kelci Walkden,India,70% Dark Bites,6/6/2023,3967,101
Kelci Walkden,India,Drinking Coco,4/7/2023,8105,255
Brien Boise,New Zealand,Drinking Coco,6/6/2023,1614,106
Dotty Strutley,Australia,Almond Choco,5/13/2023,1613,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,1/31/2023,2156,281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,6/30/2023,8184,43
Barr Faughny,Canada,Manuka Honey Choco,8/25/2023,3613,251
Gigi Bohling,New Zealand,Smooth Sliky Salty,10/1/2023,801,101
Brien Boise,USA,Manuka Honey Choco,8/22/2023,2069,8
Roddy Speechley,New Zealand,85% Dark Bars,4/14/2023,5096,284
Oby Sorrel,UK,Smooth Sliky Salty,5/31/2023,10574,338
Oby Sorrel,UK,Raspberry Choco,8/4/2023,4611,322
Roddy Speechley,USA,Drinking Coco,2/21/2023,3289,148
Andria Kimpton,Australia,Manuka Honey Choco,3/30/2023,10883,394
Mallorie Waber,India,Raspberry Choco,2/3/2023,1517,2
Jehu Rudeforth,USA,Orange Choco,7/28/2023,391,184
Kaine Padly,New Zealand,70% Dark Bites,3/24/2023,7969,38
Curtice Advani,Australia,After Nines,11/8/2023,64,109
Husein Augar,UK,Almond Choco,5/17/2023,8832,175
Kaine Padly,Canada,Choco Coated Almonds,5/18/2023,3542,180
Roddy Speechley,UK,Peanut Butter Cubes,8/17/2023,6052,173
Ches Bonnell,New Zealand,Eclairs,4/4/2023,543,54
Brien Boise,India,85% Dark Bars,9/8/2023,18895,201
Brien Boise,New Zealand,Organic Choco Syrup,1/17/2023,689,331
Andria Kimpton,Canada,White Choc,2/14/2023,4436,31
Gigi Bohling,New Zealand,Orange Choco,5/16/2023,9111,324
Ches Bonnell,Canada,Smooth Sliky Salty,3/16/2023,10370,129
Husein Augar,Canada,70% Dark Bites,1/31/2023,5833,290
Barr Faughny,Canada,Organic Choco Syrup,10/3/2023,1230,219
Oby Sorrel,UK,Organic Choco Syrup,6/30/2023,8840,170
Van Tuxwell,New Zealand,Eclairs,1/3/2023,5748,176
Mallorie Waber,UK,Drinking Coco,5/27/2023,3666,107
Oby Sorrel,UK,Milk Bars,11/7/2023,6854,220
Karlen McCaffrey,New Zealand,Mint Chip Choco,2/3/2023,4361,59
Jehu Rudeforth,USA,Raspberry Choco,4/3/2023,7686,141
Kelci Walkden,UK,85% Dark Bars,6/23/2023,4188,235
Kelci Walkden,USA,Almond Choco,1/27/2023,5425,234
Marney O'Breen,Canada,Orange Choco,1/14/2023,2897,456
Dennison Crosswaite,India,Fruit & Nut Bars,7/29/2023,1071,23
Brien Boise,Canada,Smooth Sliky Salty,5/13/2023,6417,497
Barr Faughny,Canada,Baker's Choco Chips,3/2/2023,10967,172
Brien Boise,India,Smooth Sliky Salty,5/27/2023,6345,28
Jan Morforth,Australia,Drinking Coco,2/18/2023,2825,25
Brien Boise,India,Spicy Special Slims,1/28/2023,1464,34
Van Tuxwell,UK,Eclairs,6/29/2023,5857,115
Wilone O'Kielt,India,Caramel Stuffed Bars,1/13/2023,4304,282
Jehu Rudeforth,UK,After Nines,6/27/2023,2048,169
Barr Faughny,Canada,White Choc,3/29/2023,4692,1
Gunar Cockshoot,India,Organic Choco Syrup,3/6/2023,7302,153
Mallorie Waber,Canada,Smooth Sliky Salty,3/21/2023,2057,103
Mallorie Waber,India,Eclairs,12/4/2023,11033,49
Rafaelita Blaksland,Australia,Raspberry Choco,1/19/2023,7774,247
Karlen McCaffrey,UK,50% Dark Bites,6/4/2023,3843,295
Kaine Padly,Australia,50% Dark Bites,2/8/2023,9164,81
Gigi Bohling,Australia,Eclairs,12/4/2023,7629,146
Oby Sorrel,India,Drinking Coco,7/21/2023,18221,139
Van Tuxwell,New Zealand,Baker's Choco Chips,3/22/2023,9829,24
Husein Augar,India,Peanut Butter Cubes,9/5/2023,4727,5
Andria Kimpton,Australia,Baker's Choco Chips,9/8/2023,345,118
Madelene Upcott,Canada,Choco Coated Almonds,7/20/2023,3451,283
Brien Boise,India,70% Dark Bites,4/14/2023,5071,439
Jehu Rudeforth,Canada,White Choc,1/25/2023,4719,132
Andria Kimpton,Australia,Almond Choco,4/25/2023,3431,174
Dotty Strutley,Canada,After Nines,1/17/2023,268,239
Karlen McCaffrey,USA,Eclairs,8/15/2023,991,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,2/6/2023,213,17
Gunar Cockshoot,USA,85% Dark Bars,6/30/2023,7586,131
Dotty Strutley,New Zealand,Raspberry Choco,10/2/2023,6192,99
Marney O'Breen,Canada,Caramel Stuffed Bars,2/23/2023,1511,602
Dennison Crosswaite,India,Organic Choco Syrup,1/27/2023,8693,209
Camilla Castle,UK,Mint Chip Choco,5/26/2023,5510,307
Brien Boise,USA,70% Dark Bites,4/14/2023,1863,22
Madelene Upcott,Australia,99% Dark & Pure,1/8/2023,4823,159
Mallorie Waber,Australia,Eclairs,8/22/2023,10857,229
Marney O'Breen,India,99% Dark & Pure,7/22/2023,11252,159
Husein Augar,USA,Fruit & Nut Bars,4/28/2023,1388,27
Kelci Walkden,Australia,Almond Choco,5/30/2023,5509,341
Ches Bonnell,USA,Milk Bars,7/21/2023,2444,155
Jan Morforth,UK,Caramel Stuffed Bars,2/8/2023,3176,507
Brien Boise,New Zealand,70% Dark Bites,6/15/2023,7900,143
Oby Sorrel,India,85% Dark Bars,5/7/2023,9072,142
Kaine Padly,New Zealand,Smooth Sliky Salty,12/4/2023,8,513
Gigi Bohling,Australia,70% Dark Bites,8/18/2023,1549,104
Jan Morforth,UK,50% Dark Bites,12/1/2023,5502,298
Gunar Cockshoot,Canada,White Choc,11/8/2023,7685,15
Jehu Rudeforth,Australia,Spicy Special Slims,1/13/2023,5148,402
Husein Augar,UK,Baker's Choco Chips,4/29/2023,3070,143
Rafaelita Blaksland,New Zealand,After Nines,7/7/2023,1128,88
Madelene Upcott,New Zealand,Mint Chip Choco,11/3/2023,8503,4
Madelene Upcott,UK,70% Dark Bites,2/16/2023,5961,241
Barr Faughny,Australia,Organic Choco Syrup,7/1/2023,2478,33
Beverie Moffet,New Zealand,Drinking Coco,12/1/2023,1270,497
Beverie Moffet,India,Eclairs,9/6/2023,11131,144
Andria Kimpton,India,Eclairs,5/16/2023,2455,83
Gigi Bohling,UK,85% Dark Bars,6/23/2023,12765,100
Roddy Speechley,UK,Raspberry Choco,1/28/2023,13351,198
Dotty Strutley,UK,Mint Chip Choco,7/14/2023,2763,223
Barr Faughny,Canada,Drinking Coco,4/18/2023,6523,245
Oby Sorrel,USA,Milk Bars,6/14/2023,1868,82
Oby Sorrel,UK,Orange Choco,4/15/2023,8432,251
Curtice Advani,Canada,Peanut Butter Cubes,5/19/2023,5647,64
Gigi Bohling,India,White Choc,4/13/2023,1485,180
Husein Augar,Canada,Choco Coated Almonds,8/15/2023,3860,395
Wilone O'Kielt,India,Choco Coated Almonds,8/22/2023,3237,227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,4/22/2023,4072,64
Kaine Padly,UK,Choco Coated Almonds,3/8/2023,8055,118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,4/1/2023,420,224
Kelci Walkden,Canada,After Nines,1/13/2023,17074,218
Van Tuxwell,Australia,Baker's Choco Chips,11/5/2023,13624,33
Husein Augar,New Zealand,Peanut Butter Cubes,2/16/2023,2318,235
Kaine Padly,UK,Caramel Stuffed Bars,5/20/2023,10740,67
Jehu Rudeforth,UK,Drinking Coco,3/2/2023,7625,422
Beverie Moffet,India,Manuka Honey Choco,6/5/2023,10168,159
Gunar Cockshoot,UK,Choco Coated Almonds,6/30/2023,6635,141
Gunar Cockshoot,UK,Smooth Sliky Salty,3/22/2023,860,158
Camilla Castle,Canada,Orange Choco,2/17/2023,8671,52
Jehu Rudeforth,UK,85% Dark Bars,7/7/2023,5534,63
Oby Sorrel,UK,70% Dark Bites,3/16/2023,6800,187
Kelci Walkden,UK,99% Dark & Pure,12/8/2023,3928,123
Gigi Bohling,New Zealand,After Nines,1/21/2023,5834,196
Oby Sorrel,Australia,50% Dark Bites,6/5/2023,733,147
Oby Sorrel,Canada,50% Dark Bites,6/24/2023,7165,140
Barr Faughny,USA,White Choc,5/5/2023,7901,175
Rafaelita Blaksland,New Zealand,99% Dark & Pure,3/25/2023,3551,85
Curtice Advani,Australia,Caramel Stuffed Bars,2/14/2023,10282,136
Curtice Advani,New Zealand,85% Dark Bars,12/5/2023,5937,180
Barr Faughny,New Zealand,Smooth Sliky Salty,1/25/2023,4552,172
Ches Bonnell,UK,85% Dark Bars,6/28/2023,15945,11
Dennison Crosswaite,Australia,Drinking Coco,7/13/2023,7723,188
Roddy Speechley,USA,Milk Bars,5/16/2023,3105,268
Jan Morforth,India,After Nines,3/14/2023,6994,179
Gunar Cockshoot,USA,After Nines,8/15/2023,4264,252
Ches Bonnell,India,Orange Choco,2/16/2023,1215,271
Mallorie Waber,UK,Manuka Honey Choco,6/15/2023,8519,45
Barr Faughny,Australia,Raspberry Choco,5/27/2023,9811,105
Wilone O'Kielt,USA,Drinking Coco,6/14/2023,1066,107
Wilone O'Kielt,India,Eclairs,2/25/2023,3895,80
Wilone O'Kielt,India,After Nines,4/8/2023,12194,252
Kelci Walkden,India,99% Dark & Pure,6/28/2023,2455,236
Gunar Cockshoot,Canada,Spicy Special Slims,5/4/2023,14888,12
Madelene Upcott,Canada,Peanut Butter Cubes,5/7/2023,15276,121
Kaine Padly,New Zealand,Eclairs,1/20/2023,13520,47
Ches Bonnell,New Zealand,Drinking Coco,2/16/2023,9196,127
Curtice Advani,UK,Drinking Coco,12/7/2023,461,182
Kelci Walkden,India,Raspberry Choco,6/16/2023,8217,257
Dotty Strutley,Australia,Choco Coated Almonds,4/13/2023,1864,277
Kaine Padly,UK,50% Dark Bites,2/21/2023,3283,72
Roddy Speechley,Canada,Choco Coated Almonds,11/5/2023,5967,247
Ches Bonnell,India,50% Dark Bites,4/15/2023,12084,334
Oby Sorrel,Canada,Peanut Butter Cubes,7/6/2023,12397,179
Oby Sorrel,UK,White Choc,6/27/2023,1746,280
Barr Faughny,India,After Nines,7/29/2023,9022,104
Wilone O'Kielt,Canada,Smooth Sliky Salty,2/6/2023,5263,165
Rafaelita Blaksland,India,Mint Chip Choco,1/26/2023,15473,91
Rafaelita Blaksland,Canada,99% Dark & Pure,2/3/2023,5567,140
Van Tuxwell,Australia,70% Dark Bites,10/1/2023,8111,111
Beverie Moffet,USA,70% Dark Bites,6/27/2023,2342,117
Barr Faughny,Canada,Orange Choco,6/30/2023,8650,19
Roddy Speechley,Australia,85% Dark Bars,8/7/2023,4445,77
Oby Sorrel,India,Spicy Special Slims,8/6/2023,12531,86
Jan Morforth,UK,Manuka Honey Choco,8/18/2023,3559,231
Kaine Padly,Australia,After Nines,8/4/2023,7890,300
Wilone O'Kielt,Canada,Fruit & Nut Bars,8/8/2023,3589,176
Wilone O'Kielt,UK,Milk Bars,8/26/2023,305,62
Oby Sorrel,Canada,Fruit & Nut Bars,1/14/2023,1897,161
Dennison Crosswaite,USA,Baker's Choco Chips,11/8/2023,18495,298
Madelene Upcott,USA,Almond Choco,5/31/2023,11103,24
Van Tuxwell,New Zealand,50% Dark Bites,11/7/2023,4162,11
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2/3/2023,3357,308
Madelene Upcott,Australia,Raspberry Choco,7/13/2023,7034,94
Rafaelita Blaksland,UK,Spicy Special Slims,3/8/2023,9897,143
Curtice Advani,UK,Peanut Butter Cubes,1/3/2023,15653,175
Kelci Walkden,New Zealand,White Choc,4/13/2023,7899,148
Beverie Moffet,Canada,Fruit & Nut Bars,2/14/2023,10645,172
Mallorie Waber,India,White Choc,7/26/2023,873,224
Brien Boise,UK,Drinking Coco,1/27/2023,6338,128
Jehu Rudeforth,India,Peanut Butter Cubes,4/14/2023,31,451
Oby Sorrel,USA,Almond Choco,5/19/2023,7108,142
Husein Augar,India,Eclairs,9/2/2023,5466,56
Brien Boise,UK,Spicy Special Slims,5/25/2023,2462,60
Oby Sorrel,Australia,Manuka Honey Choco,1/26/2023,4194,80
Beverie Moffet,India,White Choc,4/7/2023,1994,299
Ches Bonnell,India,Almond Choco,4/13/2023,12124,80
